Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,POSEIDON PLUMBING & HOME SERVICE,Poseidon Plumbing & Home Service,21842,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,DIGESTIVE CARE SPECIALISTS,Digestive Care Specialists,20876,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SILVER SPRING SWIM SCHOOL LLC,Silver Spring Swim School Llc,20904,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,ALTA CPA GROUP,Alta Cpa Group,21401,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"THE VALENCIA, LLC","The Valencia, Llc",21742,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"INSPIRED DENTAL CARE, LLC","Inspired Dental Care, Llc",21076,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,DEEP INGENUITY LLC,Deep Ingenuity Llc,21144,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,NUES LLC,Nues Llc,20910,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,L & P MANAGEMENT LLC,L & P Management Llc,21701,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SADACO HYATTSVILLE DBA CINNABON,Sadaco Hyattsville Dba Cinnabon,20782,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,KA MILLERSVILLE LLC,Ka Millersville Llc,21122,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SADACO WALDORF LLC DBA CINNABON,Sadaco Waldorf Llc Dba Cinnabon,07047,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BALT COUNTY BREWING LLC,Balt County Brewing Llc,21031,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,MOBILE SWEEP SERVICES INC,Mobile Sweep Services Inc,21085,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BLACKWALL HITCH BALTIMORE,Blackwall Hitch Baltimore,21202,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,JASON W. SHULTZ,Jason W. Shultz,21236,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,COSTA OILS INC,Costa Oils Inc,21157,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"WALDORF ARETE, LLC","Waldorf Arete, Llc",20603,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,CAKE BY JASON LLC,Cake By Jason Llc,21093,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"THE BLINDS SIDE,LLC","The Blinds Side,llc",21231,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SQUARE ONE DEVELOPMENT GROUP LLC,Square One Development Group Llc,21742,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"LIFT LIFE FITNESS, LLC","Lift Life Fitness, Llc",20895,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,RABIN & CO LLC,Rabin & Co Llc,21401,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,LAW OFFICE OF STEVEN W RAKO LLC,Law Office Of Steven W Rako Llc,21842,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SOMD HEARTH LLC,Somd Hearth Llc,20650,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BUFISS LLC,Bufiss Llc,20910,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"ARMSTEADXX, LLC","Armsteadxx, Llc",21227,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BCB EATS LLC,Bcb Eats Llc,21031,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"CHARMED CAFE, LLC","Charmed Cafe, Llc",21231,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,THE OIL CHANGE GUYS LLC,The Oil Change Guys Llc,21209,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BRYAN B MORADI DDS PA,Bryan B Moradi Dds Pa,21076,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,OTINGA LLC,Otinga Llc,21212,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"JMB3 HOLDINGS, LLC","Jmb3 Holdings, Llc",21231,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SWEPT FACILITY SERVICES LLC,Swept Facility Services Llc,21201,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,THREE NOTCH DENTAL LLC,Three Notch Dental Llc,20619,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,AWAYK HEALTH LLC,Awayk Health Llc,20702,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,ABERDEEN MOVIES INC.,Aberdeen Movies Inc.,21014,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,YOLO MD LLC,Yolo Md Llc,20837,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,CHANTAL TSHIKAYA DDS PC,Chantal Tshikaya Dds Pc,20902,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BLACKSTONE KITCHEN & BATH,Blackstone Kitchen & Bath,21738,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"JMDI FURNITURE, LLC","Jmdi Furniture, Llc",22191,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SERENGETI LLC,Serengeti Llc,20852,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,LUMINA SOLAR INC,Lumina Solar Inc,21227,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BUFIPIRO LLC,Bufipiro Llc,20852,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,CHARM CITY CREWING CO,Charm City Crewing Co,21203,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,CAT & SHEP INC,Cat & Shep Inc,20901,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,PIKESVILLE INDUSTRIES LLC,Pikesville Industries Llc,21117,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,ZWE LOGISTICS LLCDBA,Zwe Logistics Llcdba,20852,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,CEDAR SMILES DENTAL LLC,Cedar Smiles Dental Llc,21044,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,EARLY INTERVENTION ASSOCIATES,Early Intervention Associates,20852,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,WEEMS & PLATH LLC,Weems & Plath Llc,21403,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"Z FAMILY LAW, LLC","Z Family Law, Llc",20850,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,FURNITURE EXPERTS,Furniture Experts,20902,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,EDDY'S MOJO ANNAPOLIS LLC,Eddy's Mojo Annapolis Llc,21012,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,331B LLC,331b Llc,21032,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,WP ARUNDEL MILLS,Wp Arundel Mills,21076,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,HARLEY-DAVIDSON WASHINGTON,Harley-davidson Washington,20744,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"MAIN STREET BALLROOM, LLC","Main Street Ballroom, Llc",21794,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,LAWNN MD INC,Lawnn Md Inc,20735,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,PETER RINALDI DMD LLC,Peter Rinaldi Dmd Llc,20815,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,REGIONALE CANTON LLC,Regionale Canton Llc,21043,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,DEA-DC,Dea-dc,20854,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"THE ANNE ARUNDEL HOME SERVICES COMPANY, LLC","The Anne Arundel Home Services Company, Llc",21122,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"SURGIPRICE, INC","Surgiprice, Inc",20850,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,REGENT PROPERTY SVCS LLC,Regent Property Svcs Llc,21161,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,KENNETH BREEDEN,Kenneth Breeden,21286,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,STONE TECH MATERIALS,Stone Tech Materials,21643,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"AKSHAT ENTERPRISES, LLC","Akshat Enterprises, Llc",20874,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"JENX FAMILY DENTISTRY, LLC","Jenx Family Dentistry, Llc",21236,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"AP RETAIL, LLC","Ap Retail, Llc",20871,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"K&M SPORTS, LLC","K&m Sports, Llc",21157,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,TONY LUKES BOARDWALK,Tony Lukes Boardwalk,21843,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SOUTHERN KITCHENS LLC,Southern Kitchens Llc,21403,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"BENESSERE HEALTH, LLC","Benessere Health, Llc",21045,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,AT VR LLC,At Vr Llc,20871,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,MUSTANG ALLEY LLC,Mustang Alley Llc,21231,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,JAMES ZIRAKIAN,James Zirakian,20657,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"ELITE DESIGN SIGNS, LLC","Elite Design Signs, Llc",20850,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SO COULOMBIS,So Coulombis,20832,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,WSRJM LLC,Wsrjm Llc,21074,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,GASSAMAMA SCOOPS LLC,Gassamama Scoops Llc,20710,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SARBHAN HOTELS ELKRIDGE,Sarbhan Hotels Elkridge,21075,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,PULSE MARKETING GROUP INC,Pulse Marketing Group Inc,21401,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,BLUE CRAB TATTOO LLC,Blue Crab Tattoo Llc,21704,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,RYAN ROBERSON,Ryan Roberson,21218,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,ANNAPOLIS GELCOAT AND,Annapolis Gelcoat And,21403,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,DAKARI SOUL FOOD RESTAURANT,Dakari Soul Food Restaurant,21075,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,KELLY SULLIVAN MD PC,Kelly Sullivan Md Pc,21401,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,JM WOO LLC,Jm Woo Llc,21218,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,DERRICK AND KNOWLES WINE & COMPANY LLC,Derrick And Knowles Wine & Company Llc,20854,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,URBAN PIRATES LLC,Urban Pirates Llc,21231,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,SHRI KRISHNA HOSPITALITY,Shri Krishna Hospitality,21409,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,WETSUIT WEARHOUSE INC,Wetsuit Wearhouse Inc,21795,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,RIDER INSURANCE,Rider Insurance,21286,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,HULYA'S AESTHETIC & WELLNESS,Hulya's Aesthetic & Wellness,20759,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,CABINETS DIRECT LLC,Cabinets Direct Llc,21401,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
